batch_idx,cls,x,y,w,h,kpt0_x,kpt0_y,kpt0_v,kpt1_x,kpt1_y,kpt1_v,kpt2_x,kpt2_y,kpt2_v,kpt3_x,kpt3_y,kpt3_v,kpt4_x,kpt4_y,kpt4_v,kpt5_x,kpt5_y,kpt5_v,kpt6_x,kpt6_y,kpt6_v,kpt7_x,kpt7_y,kpt7_v,kpt8_x,kpt8_y,kpt8_v,kpt9_x,kpt9_y,kpt9_v,kpt10_x,kpt10_y,kpt10_v,kpt11_x,kpt11_y,kpt11_v,kpt12_x,kpt12_y,kpt12_v,kpt13_x,kpt13_y,kpt13_v,kpt14_x,kpt14_y,kpt14_v
1.000000,1.000000,0.398945,0.342708,0.015547,0.025000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000,0.398945,0.342708,0.000000
1.000000,1.000000,0.450234,0.327104,0.010844,0.028125,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000,0.450234,0.327104,0.000000
1.000000,1.000000,0.379297,0.343750,0.014844,0.023611,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000,0.379297,0.343750,0.000000
1.000000,1.000000,0.419531,0.336597,0.010937,0.015694,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000,0.419531,0.336597,0.000000
1.000000,0.000000,0.220134,0.584690,0.439766,0.477069,0.439766,0.345833,1.000000,0.409891,0.383708,1.000000,0.377590,0.415041,1.000000,0.345972,0.448580,1.000000,0.314434,0.482357,1.000000,0.282905,0.516161,1.000000,0.251434,0.550134,1.000000,0.220005,0.584230,1.000000,0.188575,0.618327,1.000000,0.157146,0.652423,1.000000,0.125717,0.686519,1.000000,0.094288,0.720615,1.000000,0.062858,0.754711,1.000000,0.031429,0.788807,1.000000,0.000000,0.822903,1.000000
1.000000,0.000000,0.210968,0.450886,0.421563,0.208139,0.421563,0.345972,1.000000,0.392098,0.364492,1.000000,0.362129,0.380297,1.000000,0.331725,0.393165,1.000000,0.301364,0.406393,1.000000,0.271074,0.420136,1.000000,0.240946,0.434967,1.000000,0.210835,0.449907,1.000000,0.180743,0.464970,1.000000,0.150652,0.480032,1.000000,0.120556,0.495070,1.000000,0.090417,0.509831,1.000000,0.060278,0.524591,1.000000,0.030139,0.539351,1.000000,0.000000,0.554111,1.000000
1.000000,0.000000,0.725311,0.674324,0.527930,0.655556,0.462266,0.344444,1.000000,0.499497,0.392019,1.000000,0.536664,0.440233,1.000000,0.573961,0.488136,1.000000,0.611257,0.536039,1.000000,0.649008,0.582796,1.000000,0.686917,0.629152,1.000000,0.724827,0.675508,1.000000,0.762737,0.721864,1.000000,0.800647,0.768220,1.000000,0.838556,0.814576,1.000000,0.876466,0.860932,1.000000,0.914376,0.907288,1.000000,0.952286,0.953644,1.000000,0.990195,1.000000,1.000000
2.000000,1.000000,0.389844,0.358333,0.014063,0.016667,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000,0.389844,0.358333,0.000000
2.000000,0.000000,0.644313,0.682122,0.364687,0.630000,0.461719,0.367639,1.000000,0.488064,0.412154,1.000000,0.513341,0.458575,1.000000,0.539275,0.503729,1.000000,0.566222,0.546997,1.000000,0.591589,0.593180,1.000000,0.617165,0.639071,1.000000,0.644090,0.682437,1.000000,0.671184,0.725471,1.000000,0.697394,0.770229,1.000000,0.723380,0.815400,1.000000,0.748926,0.861361,1.000000,0.774917,0.906502,1.000000,0.801030,0.951439,1.000000,0.826406,0.997639,1.000000
2.000000,0.000000,0.734423,0.469415,0.529844,0.213889,0.469688,0.361944,1.000000,0.507810,0.374284,1.000000,0.545407,0.391100,1.000000,0.583418,0.404542,1.000000,0.621180,0.420697,1.000000,0.658845,0.437552,1.000000,0.696223,0.456333,1.000000,0.733748,0.474156,1.000000,0.771664,0.489183,1.000000,0.809872,0.501649,1.000000,0.847766,0.516839,1.000000,0.885712,0.531590,1.000000,0.923722,0.545752,1.000000,0.961753,0.559764,1.000000,0.999531,0.575833,1.000000
